"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"5132","Pretoria Campus","Data Science","I am a developer by profession","Educator","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C#;C++;JavaScript;PHP;Python;SQL;TypeScript","MariaDB;MySQL","Heroku;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Express;jQuery;Laravel;Node.js","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"5133","Nelspruit Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Java","MySQL;PostgreSQL","Amazon Web Services (AWS)","Spring Boot","Advertising Services","Bing AI;ChatGPT;Google Bard AI;Perplexity AI;Quora Poe","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"5134","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;PHP;Ruby","MariaDB;MySQL","Amazon Web Services (AWS);Cloudflare;Google Cloud;Managed Hosting;Netlify","jQuery;Next.js;React;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"5135","Durban Campus","Data Science","I am a developer by profession","Other (please specify):","Some college/university study without earning a degree","C;C++;HTML/CSS;JavaScript;Objective-C;Python","MongoDB","Amazon Web Services (AWS);Vercel","Angular;Express;jQuery;Next.js;Node.js","Retail and Consumer Services","ChatGPT","Codeium","Employed"
"5136","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;JavaScript;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure","Angular;ASP.NET CORE;jQuery","Information Services, IT, Software Development, or other Technology","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed"
"5137","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;R;SQL","MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean","jQuery;Laravel;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Replit Ghostwriter;Tabnine","Employed"
"5138","Port Elizabeth Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","Go;HTML/CSS;JavaScript;TypeScript","BigQuery;Cloud Firestore;Elasticsearch;MongoDB;Redis","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud","Express;Gatsby;jQuery;Next.js;Node.js;React;WordPress","Legal Services","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed"
"5139","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL","Amazon Web Services (AWS)","Next.js;Node.js;React","Higher Education","ChatGPT;Google Bard AI","Favorable","Employed"
"5140","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript","MongoDB;MySQL;SQLite","Digital Ocean;Google Cloud;Managed Hosting","jQuery;Laravel;Node.js","Healthcare","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;GitHub Copilot","Independent contractor"
"5141","Cape Town Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Python;Ruby","MySQL;PostgreSQL","Amazon Web Services (AWS)","Flask;Ruby on Rails","Oil & Gas","ChatGPT","Mintlify;Tabnine","Not employed"
"5142","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;SQL;TypeScript","Firebase Realtime Database;Microsoft SQL Server;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Heroku;Vercel","Angular;AngularJS;ASP.NET CORE;Blazor;Express;Next.js;Node.js;React","Insurance","ChatGPT","GitHub Copilot;Tabnine","Independent contractor"
"5143","Cape Town Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","C#;Elixir;HTML/CSS;JavaScript;Objective-C;Python;SQL;Swift;TypeScript","Elasticsearch;MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud","Django;Next.js;Phoenix;React","Wholesale","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"5144","Cape Town Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL","Dynamodb;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud","FastAPI;Flask;React;Spring Boot","Legal Services","ChatGPT","AWS CodeWhisperer;Mintlify","Employed"
"5145","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Dart;JavaScript;Python;SQL","Cloud Firestore;MongoDB","Firebase;Google Cloud","Flask;Node.js","Advertising Services","ChatGPT","Mintlify","Employed"
"5146","Durban Campus","Data Science","I am a developer by profession","DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;JavaScript;Python;TypeScript","Microsoft SQL Server","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Hetzner;Microsoft Azure;OpenStack;VMware","ASP.NET;ASP.NET CORE;FastAPI;Node.js;React;Vue.js","Healthcare","ChatGPT","Adrenaline;Mintlify;Rubber Duck.AI","Employed"
"5147","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#","Microsoft SQL Server;MongoDB;Redis","Amazon Web Services (AWS);Microsoft Azure","ASP.NET CORE","Wholesale","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Employed"
"5148","Cape Town Campus","IT","I am a developer by profession","Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Python;R;Solidity;SQL;TypeScript","Dynamodb;PostgreSQL;Snowflake","Amazon Web Services (AWS)","FastAPI;Next.js;React","Oil & Gas","Bing AI;ChatGPT;WolframAlpha","AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine","Employed"
"5149","Pretoria Campus","IT","I am a developer by profession","DevOps specialist","Some college/university study without earning a degree","Bash/Shell (all shells);Go;Julia;Lua;Python;Rust","Elasticsearch;MariaDB;MongoDB;Oracle;PostgreSQL","Amazon Web Services (AWS)","Angular;AngularJS;Django;Node.js;Svelte","Oil & Gas","ChatGPT;Google Bard AI;Phind","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"5150","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Assembly;Bash/Shell (all shells);C;C#;Dart;HTML/CSS;Java;JavaScript;Python;TypeScript","MongoDB","Amazon Web Services (AWS);Heroku;Linode, now Akamai","Express;Next.js;Node.js;React;Vue.js","Retail and Consumer Services","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Student"
"5151","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","MySQL;PostgreSQL","Amazon Web Services (AWS);Google Cloud;Heroku;Netlify","Express;Gatsby;jQuery;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer","Employed"
"5152","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript","Cosmos DB;Microsoft SQL Server","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Angular;ASP.NET;ASP.NET CORE;Blazor;Node.js;React","Oil & Gas","ChatGPT","Adrenaline;Mintlify","Employed"
"5153","Cape Town Campus","Data Science","I am a developer by profession","Data scientist or machine learning specialist","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Bash/Shell (all shells);Go;JavaScript;Julia;MATLAB;Python","PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Linode, now Akamai","FastAPI","Legal Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter;Tabnine","Employed"
"5154","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, front-end","Primary/elementary school","Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Fly.io;Google Cloud;Managed Hosting;Netlify;OVH;Vercel","Deno;Express;NestJS;Next.js;Node.js;React;Remix;Solid.js;Svelte;Vue.js","Wholesale","ChatGPT","Replit Ghostwriter","Employed"
"5155","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;HTML/CSS;JavaScript;PHP;TypeScript;Visual Basic (.Net)","Cosmos DB;Dynamodb;MariaDB;Microsoft SQL Server","Amazon Web Services (AWS);Hetzner;Microsoft Azure;OpenStack","ASP.NET CORE","Retail and Consumer Services","WolframAlpha","Synk Code","Student"
"5156","Durban Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Student","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;C++;HTML/CSS;Java;JavaScript;Kotlin;Perl;PowerShell;Python;TypeScript","MariaDB;SQLite","Vercel","Flask;Next.js;Node.js;React;Vue.js","Healthcare","ChatGPT","Codeium","Student"
"5157","Pretoria Campus","Data Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python;Rust;SQL;TypeScript","BigQuery;Clickhouse;Cockroachdb;PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;OpenShift","Express;Next.js;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","Tabnine","Employed"
"5158","Nelspruit Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);JavaScript;Python","Dynamodb;Microsoft SQL Server;MongoDB;MySQL;Redis","Amazon Web Services (AWS);Linode, now Akamai","FastAPI;Flask","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Adrenaline;GitHub Copilot","Employed"
"5159","Durban Campus","Data Science","I am a developer by profession","Developer, QA or test","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript","Cassandra;Cloud Firestore;Elasticsearch;Firebase Realtime Database;MariaDB;MongoDB;MySQL;Neo4J;PostgreSQL;Snowflake;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud","Angular;AngularJS;Flask;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed"
"5160","Pretoria Campus","Computer Science","I am a developer by profession","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Linode, now Akamai","Express;Node.js","Retail and Consumer Services","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Student"
"5161","Nelspruit Campus","Computer Science","I code primarily as a hobby","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);Digital Ocean","React;Svelte;WordPress","Higher Education","ChatGPT;Google Bard AI","GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine","Employed"
"5162","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript","Cloud Firestore","Firebase;Google Cloud","Express;Next.js;Node.js;React","Other","Bing AI;ChatGPT","GitHub Copilot;Mintlify;Replit Ghostwriter","Employed"
"5163","Durban Campus","IT","I am a developer by profession","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL","SQLite","Microsoft Azure;OpenStack;VMware","Flask","Legal Services","ChatGPT","AWS CodeWhisperer;Replit Ghostwriter","Employed"
"5164","Port Elizabeth Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);Haskell;HTML/CSS;JavaScript;Ruby","MySQL;PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Netlify","AngularJS;Elm;jQuery;Node.js;Ruby on Rails","Insurance","ChatGPT","Adrenaline;Mintlify","Employed"
"5165","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;Dart;Elixir;Erlang;Go;Java;JavaScript;Kotlin;Ruby;Rust;SQL;TypeScript","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Hetzner","Phoenix;Ruby on Rails","Insurance","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed"
"5166","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Assembly;C++;Go;Haskell;HTML/CSS;Python;Rust;SQL;TypeScript","PostgreSQL;Redis;SQLite","Heroku;Microsoft Azure","Django;React","Healthcare","ChatGPT;WolframAlpha","Adrenaline;GitHub Copilot;Synk Code","Not employed"
"5167","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;TypeScript","MySQL;PostgreSQL;Redis;Supabase","Vercel","NestJS;Next.js;Node.js;React","Wholesale","Bing AI;ChatGPT;Google Bard AI","GitHub Copilot;Rubber Duck.AI","Employed"
"5168","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Some college/university study without earning a degree","Elixir;JavaScript","Elasticsearch;Oracle;PostgreSQL;Redis;Snowflake","Digital Ocean;Google Cloud;VMware","Django;Flask;Phoenix","Oil & Gas","ChatGPT","Adrenaline;AWS CodeWhisperer","Employed"
"5169","Nelspruit Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Ruby;SQL;TypeScript","InfluxDB;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS)","NestJS;Node.js;React;Ruby on Rails","Oil & Gas","Bing AI;ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot","Not employed"
"5170","Cape Town Campus","Computer Science","I am a developer by profession","Project manager","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Perl;PHP;PowerShell;Python;SQL","Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Hetzner;Linode, now Akamai;Microsoft Azure;OpenShift","AngularJS;CodeIgniter;jQuery;Laravel;Node.js;Symfony;Vue.js","Advertising Services","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Codeium;Replit Ghostwriter","Employed"
"5171","Port Elizabeth Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Associate degree (A.A., A.S., etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA","Microsoft SQL Server","Amazon Web Services (AWS);Google Cloud","Flask","Legal Services","ChatGPT;WolframAlpha","GitHub Copilot;Mintlify;Tabnine","Employed"
"5172","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;Swift","BigQuery;Cloud Firestore","Amazon Web Services (AWS);Firebase;Google Cloud","AngularJS;ASP.NET;Blazor;Next.js;Node.js;React;Vue.js","Advertising Services","Bing AI;ChatGPT;Google Bard AI","Adrenaline;GitHub Copilot;Synk Code","Employed"
"5173","Pretoria Campus","Computer Science","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;GDScript;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript","BigQuery;Cockroachdb;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Hetzner;Managed Hosting;Netlify","Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery;React;Solid.js;WordPress","Higher Education","ChatGPT;Google Bard AI","AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI","Employed"
"5174","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Clojure;HTML/CSS;JavaScript;Kotlin;PHP;Python;Ruby;SQL;Swift","MySQL","Amazon Web Services (AWS)","Angular;jQuery;Laravel;Node.js","Other","ChatGPT","GitHub Copilot;Synk Code;Whispr AI","Employed"
"5175","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Clojure;HTML/CSS;JavaScript;Python;SQL;TypeScript","Dynamodb;MongoDB;Snowflake","Amazon Web Services (AWS);Firebase;Google Cloud","FastAPI;Flask;React","Advertising Services","ChatGPT;Phind","AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine","Employed"
"5176","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;SQL;TypeScript","Elasticsearch;MongoDB;PostgreSQL","Amazon Web Services (AWS);OpenShift","Express;Flask;Node.js;React","Higher Education","Bing AI;Google Bard AI","Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"5177","Durban Campus","Data Science","I code primarily as a hobby","Student","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Java;JavaScript;SQL","MongoDB;MySQL","Amazon Web Services (AWS);Netlify","Node.js;React;Spring Boot","Financial Services","ChatGPT","Rubber Duck.AI;Tabnine","Not employed"
"5178","Pretoria Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript","Couch DB;Elasticsearch;IBM DB2;MariaDB;MySQL","Amazon Web Services (AWS)","React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"5179","Durban Campus","IT","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","JavaScript;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS)","NestJS;Node.js","Higher Education","ChatGPT","Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI","Employed"
"5180","Port Elizabeth Campus","IT","I am a developer by profession","Student","Some college/university study without earning a degree","Bash/Shell (all shells);C;C++;Go;Haskell;HTML/CSS;Java;JavaScript;Python;Rust;TypeScript","SQLite","Cloudflare;Netlify","Node.js;React;Svelte;Vue.js","Retail and Consumer Services","ChatGPT","GitHub Copilot;Replit Ghostwriter","Not employed"
"5181","Pretoria Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","BigQuery;PostgreSQL;Redis;SQLite","Google Cloud;Heroku;Hetzner","Django;Express;FastAPI;Node.js;React","Financial Services","ChatGPT;Google Bard AI;WolframAlpha","Mintlify;Synk Code","Employed"
"5182","Durban Campus","Computer Science","I am a developer by profession","DevOps specialist","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;TypeScript","MongoDB","Amazon Web Services (AWS);Google Cloud;Netlify","Node.js","Healthcare","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Mintlify","Employed"
"5183","Cape Town Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","HTML/CSS;JavaScript;SQL;TypeScript","Dynamodb;Firebase Realtime Database;MongoDB;PostgreSQL;Redis","Amazon Web Services (AWS)","Express;NestJS;Node.js;React","Other","ChatGPT","AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine","Employed"
"5184","Cape Town Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby","PostgreSQL;Redis","Amazon Web Services (AWS);Heroku","Ruby on Rails","Financial Services","ChatGPT","GitHub Copilot;Replit Ghostwriter;Tabnine","Independent contractor"
"5185","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;SQL","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Microsoft Azure;VMware","Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;React;WordPress","Insurance","Bing AI;ChatGPT","AWS CodeWhisperer;Synk Code;Whispr AI","Employed"
"5186","Nelspruit Campus","IT","I am a developer by profession","Developer, full-stack","Associate degree (A.A., A.S., etc.)","C#","Microsoft SQL Server","Amazon Web Services (AWS);Microsoft Azure","Blazor","Manufacturing, Transportation, or Supply Chain","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code","Employed"
"5187","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP","MySQL;Solr","Amazon Web Services (AWS);Cloudflare;Linode, now Akamai;Microsoft Azure","Drupal;jQuery;Node.js;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","GitHub Copilot;Whispr AI","Employed"
"5188","Nelspruit Campus","Data Science","I am a developer by profession","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript","Cloud Firestore;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Netlify;Vercel","FastAPI;Next.js;Node.js;Nuxt.js;React;Vue.js","Higher Education","ChatGPT","AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI","Employed"
"5189","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Ruby","Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS)","Angular;Ruby on Rails;Spring Boot","Retail and Consumer Services","ChatGPT","Synk Code;Tabnine","Employed"
"5190","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Elixir","MongoDB;PostgreSQL;Redis;Snowflake","Google Cloud;Microsoft Azure","ASP.NET CORE;Phoenix","Legal Services","Bing AI;ChatGPT;Google Bard AI","AWS CodeWhisperer;Whispr AI","Independent contractor"
"5191","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;JavaScript;TypeScript","MongoDB;PostgreSQL;Redis","Render","Express;Next.js;Node.js;React","Manufacturing, Transportation, or Supply Chain","ChatGPT","Adrenaline;GitHub Copilot;Rubber Duck.AI","Not employed"
"5192","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;JavaScript;Python;Scala;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","Node.js;React","Healthcare","ChatGPT","GitHub Copilot;Mintlify","Employed"
"5193","Cape Town Campus","Data Science","I am a developer by profession","Developer, mobile","Some college/university study without earning a degree","Assembly;C;C++;Dart;HTML/CSS;JavaScript;Kotlin;MATLAB;Objective-C;PHP;Python;R;SQL;Swift","Cloud Firestore;MongoDB;Oracle;PostgreSQL;SQLite","Amazon Web Services (AWS);Firebase","Django;Flask;Node.js;React;WordPress","Financial Services","ChatGPT","Tabnine","Employed"
"5194","Nelspruit Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Data or business analyst","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL","Cassandra;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);OpenStack","Node.js;WordPress","Legal Services","WolframAlpha","GitHub Copilot;Whispr AI","Employed"
"5195","Nelspruit Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;HTML/CSS;JavaScript;PHP;Python;Solidity;SQL","Cassandra;Elasticsearch;MariaDB;Microsoft SQL Server;PostgreSQL;Snowflake","Amazon Web Services (AWS)","Angular;Flask;Laravel;NestJS;Symfony","Advertising Services","Phind","Codeium;GitHub Copilot;Tabnine","Employed"
"5196","Port Elizabeth Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript","Couchbase;MySQL;SQLite","Amazon Web Services (AWS)","ASP.NET CORE;Blazor;jQuery;Node.js;Nuxt.js;Vue.js","Oil & Gas","Bing AI;ChatGPT;Google Bard AI;You.com","GitHub Copilot;Synk Code;Whispr AI","Employed"
"5197","Port Elizabeth Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Kotlin;Python;Scala;SQL;TypeScript","Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Heroku","Angular;Express;FastAPI;Flask;jQuery;Next.js;Play Framework;React","Wholesale","ChatGPT","GitHub Copilot;Whispr AI","Employed"
